Drug,Gene,ICD,gene_ICD_ref,gene_ICD_TRUE_FALSE,gene_ICD_sentence,drug_gene_ref,drug_gene_TRUE_FALSE,drug_gene_sentence,Observations,keep_new
CHYMOPAPAIN,CD34,AGE RELATED OSTEOPOROSIS,"Medline_22724005,Pmcoa_3377665,Pmcoa_4530234",TRUE,"Systemically delivered CD34(+) cells home to the bone marrow and significantly improve bone deposition, bone mineral density and bone micro-architecture in osteoporotic mice.","Medline_7488936,Medline_9217192,Medline_7514449,Patent_WO1996018639A1",TRUE,Using immunomagnetic beads (Isolex 300 SA. Baxter) CD34+ cells were enriched and released by chymopapain resulting in a median purity of 95% (range 82-99%) and a median recovery of 80% (range 27-132%).,,keep
POLOXAMER 407,CTSB,AGE RELATED OSTEOPOROSIS,"Medline_24881000,Patent_EP2353599A1,Patent_WO2011091973A1",TRUE,"Several cellular disorders have been related to the overexpression of the cysteine protease cathepsin B (CatB), such as rheumatic arthritis, muscular dystrophy, osteoporosis, Alzheimer's disease, and tumor metastasis. Therefore, inhibiting CatB may be a way to control unregulated cellular functions and prevent tissue malformations.","Pmcoa_3795317,Medline_23181274",TRUE,"Specifically, repeated P-407 administration over 4 months resulted in damage to endothelial cells and increased activity of cysteine protease cathepsin B and matrix metalloprotease (MMP) in heart tissue, which was associated with cardiomyocyte injury (Korolenko et al., 2012b).",,new
ALBENDAZOLE,CYP1A1,AGE RELATED OSTEOPOROSIS,"Medline_15647817,Medline_28300467",TRUE,"Our data, therefore, suggest that, through its effect on the rate of estrogen catabolism, the C4887A polymorphism of the CYP1A1 gene may represent a possible genetic risk factor for osteoporosis.","Medline_3404457,Pmcoa_3521711",TRUE,"On this regard, Bapiro et al. [54] demonstrated that quinine and albendazole induced CYP1A1 and CYP1A2 in HepG2 cells at concentrations equivalent to those achieved in therapeutic protocols alerting about the risk of combining quinine or albendazole with other drugs that are metabolized by these systems.",,keep
2-HYDROXYESTRADIOL,CYP1A1,AGE RELATED OSTEOPOROSIS,"Medline_15647817,Medline_28300467",TRUE,,"Medline_20881610,Pmcoa_4175619,Pmcoa_4313599",TRUE,"The vascular protective effects of estradiol are metabolized into 2-hydroxyestradiol (2HE) by CYP1A1, and 2HE is converted into 2-methoxyestradiol (2ME) by catechol-O-methyl transferase.",,new
ALOGLIPTIN,GIP,AGE RELATED OSTEOPOROSIS,"Medline_26642272,Patent_EP1119625A1,Patent_EP1119625B1,Patent_US20130137631,Patent_US6410508,Patent_US20130196913,Patent_US8895498,Patent_US20080312157,Patent_US20090036364,Patent_US20130281374,Patent_US8263545,Patent_US8404637,Patent_US9133260",TRUE,,"Patent_US20130059872,Medline_25227623,Pmcoa_4166248",TRUE,"Dipeptidyl peptidase-4 (DPP-4) inhibitors including alogliptin are categorised as a newer class of oral hypoglycaemic, antidiabetic drugs to suppress the degradation of incretin hormones ((glucagon-like peptide-1 (GLP-1) and glucose-dependent insulinotropic polypeptide (GIP)) by DPP-4. ",,keep
NIMOTUZUMAB,IGFBP3,AGE RELATED OSTEOPOROSIS,"Pmcoa_4294440,Medline_25610822,Patent_US6518238,Patent_US6514937,Patent_WO1998036764A2,Patent_WO2000020024A2,Patent_WO2000006191A1",TRUE,A. japonica extract is increased to serum levels of IGFs and IGFBP-3 of osteoporosis induced by ovariectomized rats.,"Pmcoa_3540017,Medline_23232108",TRUE," In KYSE30 cell xenografts, Nimotuzumab combined with radiation led to significant tumor growth delay, compared with that of radiation alone (P=0.029), and also with IGFBP-3 up-regulation in tumor tissue.",,keep
MEGESTROL,MIR34A,AGE RELATED OSTEOPOROSIS,"Patent_US20160201056,Patent_WO2015026611A1,Pmcoa_4149606,Patent_WO2017050848A1,Medline_25043055,Pmcoa_5000714,Pmcoa_4600156,Pmcoa_5327426,Pmcoa_5349985,Pmcoa_5454890,Pmcoa_5547976",TRUE,"MiR-21 overexpression reversed osteoporosis by targeting RECK [8] and miR-34a prevented osteoporosis by inhibiting osteoclastogenesis via targeting Tgif2 [9]. Thus, microRNAs play important roles in bone development and skeletal disorders.","Patent_EP3160980A1,Patent_WO2015183667A1",FALSE,-,"Only patent references, impossible to proove it true or false.",new
UNII-WSU5343074,PPIA,AGE RELATED OSTEOPOROSIS,"Medline_26932182,Pmcoa_4774113",TRUE,"Thus, modulation of CypA activity may represent a novel option to regulate both osteoblast and osteoclast activity in order to combat osteoporotic bone loss.","Pmcoa_3185723,Medline_22585215,Pmcoa_3185663,Medline_19933795,Patent_US20160052972",TRUE,SCY-635 is also a non-immunosuppressive analogue of CsA that exerts potent anti-HCV activity in vitro.,,new
GESTODENE,SHBG,AGE RELATED OSTEOPOROSIS,"Medline_20452803,Pmcoa_4435629,Medline_27873076,Medline_22588185",TRUE,"Given that serum SHBG elevation is associated with the occurrence of multiple fractures, determination of the serum SHBG level, which can be readily performed in everyday clinical practice, may constitute a useful new marker for predicting the severity of osteoporosis.","Medline_1424621,Medline_8147246,Medline_7813219,Medline_8808163,Pmcoa_5721684",TRUE,"Thus, the present study showed that the pharmacokinetics of GEST can be fully explained on the basis of single dose pharmacokinetics and the changes in serum protein binding which were caused by a reduction of SHBG levels in the serum during chronic treatment with GEST. ",,new
ELIGLUSTAT,UGCG,AGE RELATED OSTEOPOROSIS,"Medline_11051736,Pmcoa_4358421",FALSE,"lucocorticoid use is the most common cause of iatrogenic and secondary osteoporosis. In a meta-analysis of seven cohort studies of 42,000 subjects, current and prior use of glucorticosteroids (GCSs) was found to be a predictor of the increased risk of fractures, independent of previous history of fractures and BMD.88","Patent_EP3253734A2,Patent_WO2016126572A2,Medline_26387627,Pmcoa_4927653,Pmcoa_4766994,Pmcoa_4226965,Pmcoa_4859014,Pmcoa_3126858,Patent_US20120202756,Pmcoa_2991350,Patent_WO2012046062A1,Pmcoa_3986510,Medline_17509920,Medline_20336375,Patent_WO2016209080A2,Pmcoa_4806476,Pmcoa_5355972,Medline_22058426,Pmcoa_3259697,Medline_26954668,Patent_US8961959,Patent_US20130095089,Patent_WO2013059119A1",-,,,new
CHLORDIAZEPOXIDE,TRH,ANKYLOSING SPONDYLARTHRITIDES,"Medline_7858584,Medline_8763085",FALSE,-,"Medline_3015558,Medline_6436800,Medline_2856406,Medline_8584022,Medline_2558307,Medline_8049715,Medline_2116028,Medline_6426979,Medline_2888647,Medline_2481818",-,,,keep
METHAPYRILENE,TRH,ANKYLOSING SPONDYLARTHRITIDES,"Medline_7858584,Medline_8763085",FALSE,,"Medline_12110379,Patent_EP1794182A2,Medline_2178251,Patent_EP1794182B1,Pmcoa_3777413,Medline_3093794,Patent_US7067257,Patent_US6475989,Patent_US20030232966,Patent_US7713935,Patent_WO2003089459A2,Patent_US20070265202",-,,,keep
PROTAMINE SULFATE,F10,ANTI PHOSPHOLIPID ANTIBODY SYNDROME,"Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503",TRUE,Anti-FXa IgG were found in patients with SLE (49.1%) and APS (33.9%) (P <0.05) but not in ARD controls and HC,"Medline_1335615,Medline_1658966,Pmcoa_4969935,Medline_21297450",TRUE," Although the anti-Factor Xa effect of enoxaparin was incompletely neutralized by protamine sulfate in an experimental animal model, protamine sulfate reversed bleeding induced by hemorrhagic doses of enoxaparin.",,keep
GAMMA-CARBOXYGLUTAMIC ACID,F10,ANTI PHOSPHOLIPID ANTIBODY SYNDROME,"Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503",TRUE,,"Patent_US20100255000,Patent_EP2453910B1,Patent_EP2414517B1,Patent_EP2193196B1,Patent_EP2364165B1,Patent_EP3078743A1,Patent_EP3121271A1,Patent_US20090098119,Patent_EP2915564A1,Patent_US20110015128,Patent_US20120269788,Patent_US20100125052,Patent_US20140134151,Patent_US20130129693,Patent_US20140044773,Patent_US20160002617,Patent_US20150025011,Patent_US20160354449,Patent_US20170233711,Patent_US20140079684,Patent_US20150057228,Patent_US9109046,Patent_US9023796,Patent_US9062298,Patent_US20170014492,Patent_US8455439,Patent_US8153590,Patent_US8268783,Patent_US8455441,Patent_US9056106,Patent_US9388401,Patent_US8889129,Patent_US9587233,Patent_EP2948168A1,Patent_WO2014116275A1,Patent_WO2009042962A2,Medline_417734,Medline_8119280,Medline_1989997,Medline_23455714,Patent_EP2305802A1,Patent_US20080004216,Patent_US20090280107,Patent_US20070066531,Patent_US20080026994,Patent_US20090281027,Patent_US20130172259,Patent_US20070225224,Patent_US20060264373,Patent_US20030100506,Patent_US20050075291,Patent_US20070161561,Patent_US20090275123,Patent_US20090280554,Patent_US20100311658,Patent_US20070225223,Patent_US7553934,Patent_US20140113330,Patent_US7314917,Patent_US7247708,Patent_US8642738,Patent_US7612188,Patent_US8415457,Patent_US8415458,Patent_US9266931,Patent_US8048990,Patent_US7479551,Patent_US7662923,Patent_US7553935,Patent_US7220837,Patent_US7750120,Pmcoa_5423471,Pmcoa_5874076",FALSE," We have isolated fragments, from tryptic digests of factor X, that consists of the gamma-carboxyglutamic acid (Gla) region linked to one or two epidermal growth factor (EGF)-like domains.",,keep
DABIGATRAN ETEXILATE,F10,ANTI PHOSPHOLIPID ANTIBODY SYNDROME,"Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503",TRUE,,"Medline_23117667,Medline_19550318,Medline_23818798,Medline_23695644,Medline_21421599,Medline_22465061,Medline_24605405,Pmcoa_3693821,Pmcoa_4224738,Pmcoa_3228673,Pmcoa_3556861,Pmcoa_4132966",TRUE,"In daily practice, Dabigatran etexilate competes against the new direct factor Xa-inhibitors. ",,keep
BETRIXABAN,F10,ANTI PHOSPHOLIPID ANTIBODY SYNDROME,"Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503",TRUE,,"Patent_US20150224091,Patent_US20080153876,Patent_US8404724,Patent_WO2013033370A1,Pmcoa_3283221,Pmcoa_3595681,Pmcoa_3743339,Pmcoa_4548753,Pmcoa_4428103,Pmcoa_3763648,Patent_EP2146705B1,Medline_19132191,Patent_EP2414517A1,Patent_EP2453910B1,Medline_23964817,Medline_29543384,Medline_27881569,Medline_29338293,Patent_EP2146705A2,Patent_EP2814955A1,Patent_EP2193196A2,Patent_EP2364165A2,Patent_EP2193196B1,Patent_EP2364165B1,Patent_EP2915564A1,Patent_EP3078743A1,Patent_EP3121271A1,Patent_EP2414517B1,Patent_EP2453910A1,Patent_US20100125052,Patent_EP2586439A1,Patent_US20080279845,Patent_US20110033459,Patent_US9062298,Patent_US20130230901,Patent_US20140079684,Patent_EP3254674A1,Patent_US20150057228,Patent_US20150376592,Patent_US20150025011,Patent_US20130129693,Patent_US20160002617,Patent_US20160354449,Patent_US20090098119,Patent_US20110015128,Patent_US20170014492,Patent_US20120095019,Patent_US20140044773,Patent_US20140134151,Patent_US20140323497,Patent_US20100255000,Patent_US20120269788,Patent_US9023796,Patent_US20170233711,Patent_US20170240879,Patent_US8153590,Patent_US8946219,Patent_US9587233,Patent_US8455441,Patent_US9388401,Patent_US9109046,Patent_US9056106,Patent_US8889129,Patent_WO2010056765A2,Patent_US8455439,Patent_WO2008137787A2,Patent_WO2010117729A1,Patent_US8268783,Patent_WO2013123087A1,Patent_WO2011008885A1,Patent_WO2009042962A2,Patent_WO2012031018A1,Pmcoa_3158856,Pmcoa_3782407,Pmcoa_4489817,Patent_WO2017211779A1,Pmcoa_4762436,Patent_EP1948608A2,Patent_EP1948608B1",TRUE,"Edoxaban and betrixaban, other factor Xa inhibitors, are in evaluation but not yet recommended by the FDA",,keep
XIMELAGATRAN,F10,ANTI PHOSPHOLIPID ANTIBODY SYNDROME,"Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503",TRUE,,"Patent_EP2167487B1,Medline_12768805,Medline_26123214,Patent_EP2010534A1,Patent_US20080312311,Patent_US20090131459,Patent_US20090247555,Patent_US20100226918,Patent_EP1824855A1,Patent_EP2069365A1,Patent_EP2010535A1,Patent_EP2010535B1,Patent_EP2158202A1,Patent_EP1869056B1,Patent_EP2069364A1,Patent_EP1824855B1,Patent_EP2029598A1,Patent_EP2121020A2,Patent_EP1869056A1,Patent_EP2069364B1,Patent_EP1869055A1,Patent_EP2029603A1,Patent_US20090124637,Patent_US20090124640,Patent_US20080221136,Patent_US20080318981,Patent_US20110059996,Patent_US20100035899,Patent_US20080221133,Patent_US20100099642,Patent_US20080194527,Patent_US20090149475,Patent_US20080214578,Patent_US20090286813,Patent_US20120100204,Patent_US20150099769,Patent_US7960395,Patent_US20110092519,Patent_US20110105537,Patent_US7910576,Patent_US8859568,Patent_US7947693,Patent_WO2006062465A1,Patent_US7943625,Patent_US8088780,Patent_US9580429,Patent_WO2007142577A1,Patent_WO2008152420A1,Patent_US9440992,Patent_US8158785,Patent_US7829707,Patent_US8026244,Patent_WO2007142576A1,Patent_WO2008039138A1,Patent_WO2009120140A1,Patent_WO2006107258A1,Patent_WO2008039139A1,Patent_WO2008099144A2,Patent_WO2006107257A1,Patent_WO2016162785A1,Patent_WO2016162787A1",FALSE,"The new inhibitors of fibrin synthesis can be divided into direct thrombin inhibitors (hirudine, melagatran, ximelagatran), specific factor Xa inhibitors (pentasaccharides: fondaparinux, idraparinux) and inhibitors of the tissue thromboplastin factor VIIa complex (recombinant nematode anticoagulant protein c2, inactivated factor VIIa, recombinant tissue factor pathway inhibitor).",,keep
DAREXABAN,F10,ANTI PHOSPHOLIPID ANTIBODY SYNDROME,"Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503",TRUE,,"Pmcoa_3295208,Medline_27121937,Medline_22031623,Pmcoa_5850258,Medline_22040919,Medline_22382330,Medline_23929659,Medline_25438755,Medline_22616561,Medline_23211396,Medline_23167531,Medline_23754514,Medline_21878434,Medline_22642721,Medline_23200896,Medline_27128609,Medline_23591155,Pmcoa_3283221",TRUE,"In conclusion, darexaban is a selective and direct factor Xa inhibitor and a promising oral anticoagulant for the prophylaxis and treatment of thromboembolic diseases.",,new
IDARUCIZUMAB,F10,ANTI PHOSPHOLIPID ANTIBODY SYNDROME,"Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503",TRUE,,"Pmcoa_6058271,Pmcoa_4663607",FALSE,"Reversal agents for DOACs were initially lacking, but are currently under development (idarucizumab for dabigatran, and andexanet and PER977 for Fxa).",,new
GLYCINE AMIDE,ADAMTS5,ARTHRITIS,"Pmcoa_4289229,Pmcoa_4053306,Pmcoa_5074720,Pmcoa_5113859,Medline_21365186",TRUE,The plethora of emerging small-molecule ADAMTS aggrecanase inhibitors gives hope that some will be efficacious and tolerable and that those that are specific to ADAMTS5 could be developed as novel therapeutics for arthritis patients in the near future.,"Patent_US9695157,Patent_US20120041023,Patent_US20150210674,Medline_18974001,Patent_US9000009,Patent_US20170334890,Patent_EP3209794A1,Patent_WO2016061642A1",FALSE,N-((8-Hydroxy-5-substituted-quinolin-7-yl)(phenyl)methyl)-2-phenyloxy/amino-acetamide inhibitors of ADAMTS-5 (Aggrecanase-2) have been prepared.,,new
PBF-509,ADORA2A,ARTHRITIS,"Pmcoa_4609967,Medline_23283732,Pmcoa_5622197",TRUE,"In the present study, using two different mouse models of experimental arthritis, we addressed the role of the CD39/CD73 adenosinergic pathway and the contribution of the A2aR to the anti-inflammatory effects of exogenous treatment with FBP.","Pmcoa_5458644,Patent_WO2017023753A1",TRUE,Our studies showed that PBF-509 is highly specific to the A2aR as well as inhibitory of A2aR function in an in vitro model.,,keep
EVODENOSON,ADORA2A,ARTHRITIS,"Pmcoa_4609967,Medline_23283732,Pmcoa_5622197",TRUE,,"Patent_US20080312160A1,Medline_16622196,Pmcoa_2096525,Medline_19558673,Pmcoa_5476886,Pmcoa_2811859,Pmcoa_5522836,Pmcoa_3927137,Pmcoa_2711962,Pmcoa_3598653,Medline_20385073",TRUE,This study evaluated the effects of a new selective A2A adenosine receptor agonist (ATL 313) on toxin A-induced injury in murine ileal loops. ,,new
MLN 4760,ANG,ARTHRITIS,"Medline_12653852,Pmcoa_4997264,Medline_8724206,Pmcoa_5701946",TRUE,These data suggest that angiogenin may mediate local inflammation in arthritis via effects on angiogenesis and leucocyte regulation.,"Pmcoa_5641337,Medline_22318946,Patent_US20060257861",FALSE,The ACE2 inhibitor MLN-4760 and PCP/PEP inhibitor Z-pro-prolinal reduced cortical Ang-(1-7) formation.,,new
GR205171,B3GAT1,ARTHRITIS,"Medline_22687356,Pmcoa_17819",TRUE,"Because the expression of receptors on the primary afferent neurons is essential for the pain-producing action of inflammatory mediators and neuropeptides, we investigated in the present study whether the expression of BK and NK1 receptors on primary afferent neurons is altered during the acute and chronic phases of an antigen-induced arthritis (AIA)","Pmcoa_3796513,Pmcoa_1959516,Medline_11734064,Medline_18465582,Medline_10336675,Pmcoa_60651",FALSE,There is no evidence of NK1 receptors on peripheral nerve cells but the allocation of [11C]GR205171 may represent NK1 expression on non-neural cells such as immune and tissue cells.,,keep
NETUPITANT,B3GAT1,ARTHRITIS,"Medline_22687356,Pmcoa_17819",TRUE,,"Pmcoa_4282341,Patent_US20020091265,Patent_US6479483,Medline_25843024,Medline_22736506,Medline_25077526,Patent_WO2017147104A1",FALSE,"The aim of the present study was to investigate the pharmacological activity of Pronetupitant, a novel compound designed to act as prodrug of the NK1 antagonist Netupitant.",,keep
FOSAPREPITANT,B3GAT1,ARTHRITIS,"Medline_22687356,Pmcoa_17819",TRUE,,"Patent_US9782397,Pmcoa_5222820,Patent_EP2729147A1,Patent_US20140128395,Patent_WO2013004766A1,Patent_EP2729147B1,Pmcoa_4018359",FALSE,"On the day of the experiment, rats received cisplatin (0, 3, and 6 mg/kg, i.p.) with or without a daily injection of a 5-HT3 receptor antagonist (granisetron: 0.1 mg/kg, i.p.) or a neurokinin NK1 receptor antagonist (fosaprepitant: 2 mg/kg, i.p.), and their eye-opening index (the ratio between longitudinal and axial lengths of the eye) in the recorded video image was calculated.",,keep
MK 869,B3GAT1,ARTHRITIS,"Medline_22687356,Pmcoa_17819",TRUE,,"Patent_US20060019943,Patent_US20090030040,Patent_US8071778,Patent_US20090018132,Patent_US20090018163,Patent_US20080027056,Patent_US20090124613,Patent_US7098203,Patent_US8026257,Medline_12576885,Patent_US7632861",FALSE,"Furthermore, oral administration of the NK1 antagonists MK-869 (10 mg/kg), L-742694 (10 mg/kg), L-733060 (10 mg/kg), CP-99994 (30 mg/kg), and CP-122721 (3-30 mg/kg) reduced immobility time.",,keep
VESTIPITANT,B3GAT1,ARTHRITIS,"Medline_22687356,Pmcoa_17819",TRUE,,"Medline_24108409,Medline_20478677",FALSE,Vestipitant (1) is a novel NK1 antagonist currently under investigation for the treatment of CNS disorders and emesis. ,,keep
CHEMBL3126832,BIRC5,ARTHRITIS,"Pmcoa_4652986,Medline_17635796,Pmcoa_5428713,Pmcoa_4516528,Medline_25381389",TRUE,"This study demonstrates that intracellular expression of the oncoprotein survivin is a characteristic feature of Tfh cells in RA patients and in arthritic mice. The survivin positive subset of memory CD4 T cells possessed a complete signature of mature Tfh cells expressing CXCR5 and PD-1 receptors and master transcription factor Bcl-6 required for Tfh function [1, 22]. ","Medline_23900601,Medline_29752686",TRUE,"The co-treatment with OBP-801 and LY294002 markedly decreased survivin and the X-linked inhibitor of apoptosis protein (XIAP) protein levels, but Bcl-2 family members were not altered by the OBP-801/LY294002 co-treatment. ",,new
GATAPARSEN,BIRC5,ARTHRITIS,"Pmcoa_4652986,Medline_17635796,Pmcoa_5428713,Pmcoa_4516528,Medline_25381389",TRUE,,"Pmcoa_4224095,Medline_25436803,Pmcoa_5053666",TRUE,"Among several possible reasons, insufficient inhibition of survivin by LY2181308, an antisense oligonucleotide with limited in vivo bioavailability and uptake in tumors, may contribute to its disappointing clinical efficacy [46].",,new
ISATUXIMAB,CD38,ARTHRITIS,"Pmcoa_3306406,Pmcoa_4418770",TRUE,In the present study we explored whether the deficiency in CD38 influenced the clinical progression of CIA in B6 mice.,"Patent_EP3215541A1,Patent_WO2016071355A1,Medline_24987056,Pmcoa_5880931,Patent_WO2015123687A1,Patent_US20170049908,Patent_EP3104882A1,Patent_US20160346403,Pmcoa_5030378",TRUE,Isatuximab is a humanized IgG1 monoclonal antibody that binds to a specific epitope on the human CD38 receptor.,,keep
SALICYLHYDROXAMIC ACID,CYCS,ARTHRITIS,"Pmcoa_4951490,Pmcoa_4226164",TRUE,"The release of cytochrome c from mitochondria induces apoptosis, while its extracellular release initiates a DAMP response. Intra-articular injection of cytochrome c in mice induces arthritis (Pullerits et al., 2005).","Pmcoa_3463542,Pmcoa_4714917",FALSE,"Indeed, it has been suggested that SHAM might inhibit the cytochrome c oxidase (complex IV) [63], the terminal oxidase of the respiratory chain.","Both drug_gene_ref mention cytochrom c oxydase (COX), not cytochrome c itself.",new
ATOVAQUONE,CYCS,ARTHRITIS,"Pmcoa_4951490,Pmcoa_4226164",TRUE,,"Pmcoa_4566515,Pmcoa_4962491,Patent_US20140275088,Patent_US9873661,Patent_US09873661",TRUE,"Second, the reduction of cytochrome c is inhibited by atovaquone under conditions promoting complex III-dependent respiration in isolated mitochondria, but the reduction of dichlorophenolindophenol by complex II is not inhibited by atovaquone.","The drug ais used to treat malaria and it acts on the complex cytochrom bc of this parasite, but it has been tested for tumor (ref 2) and may act on cytochrome c in vitro.",new
