"","Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref"
"17","5-{[2-(6-AMINO-9H-PURIN-9-YL)ETHYL]AMINO}-1-PENTANOL","ADCY1","PSORIASIS","Medline_1244187,Medline_167799,Medline_4376892","Pmcoa_4198686,Pmcoa_4071154,Pmcoa_5321753,Patent_US20190002418A1,Medline_21228397,Medline_25304256,Pmcoa_5625283,Pmcoa_5019365,Pmcoa_1395303,Medline_28838956,Patent_EP3403674A1,Pmcoa_4653882"
"18","CPI-444","ADORA2A","ARTHRITIS","Pmcoa_4609967,Medline_23283732,Pmcoa_5622197","Patent_EP3393475A1,Patent_US20190022096A1,Pmcoa_6220479,Clinicaltrial_NCT02655822,Medline_29923026,Pmcoa_5694450,Pmcoa_6349827,Pmcoa_6220480,Pmcoa_5088186,Pmcoa_5856308"
"19","SUXAMETHONIUM","ADORA2A","ARTHRITIS","Pmcoa_4609967,Medline_23283732,Pmcoa_5622197","Pmcoa_3584434,Medline_23508639"
"20","PBF-509","ADORA2A","ARTHRITIS","Pmcoa_4609967,Medline_23283732,Pmcoa_5622197","Pmcoa_6321150,Pmcoa_6202948,Pmcoa_5458644,Pmcoa_5461710,Patent_US20190031766A1,Patent_EP3328896A1,Pmcoa_5694450,Medline_30405415,Medline_28582704,Patent_US20180214544A1,Pmcoa_5842577,Patent_US20180214544"
"21","EVODENOSON","ADORA2A","ARTHRITIS","Pmcoa_4609967,Medline_23283732,Pmcoa_5622197","Patent_US20080312160A1,Medline_16622196,Pmcoa_2096525,Medline_19558673,Pmcoa_5476886,Pmcoa_2811859,Pmcoa_5522836,Pmcoa_3927137,Pmcoa_2711962,Pmcoa_3598653,Medline_20385073"
"22","BINODENOSON","ADORA2A","ARTHRITIS","Pmcoa_4609967,Medline_23283732,Pmcoa_5622197","Patent_US20150010472A1,Patent_EP2809357A1,Patent_EP2809357B1,Medline_18561509,Medline_14734517,Patent_US20150010472,Pmcoa_2496979,Medline_16524538"
"23","ACEBUTOLOL","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Medline_2869961,Medline_10433496,Medline_28578076"
"24","RITODRINE","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Medline_11186251,Patent_EP2126124A2,Patent_US20100119504,Medline_9625275,Medline_22675953,Medline_6286025,Patent_WO2008114237A2,Patent_US20080233106,Medline_2310659,Pmcoa_5824114,Pmcoa_4410172,Patent_US20110027352,Medline_23370008"
"25","SALMETEROL XINAFOATE","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Patent_WO2010138770A2,Patent_EP2435050A2"
"26","DOPEXAMINE","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Pmcoa_3495459,Medline_12162731"
"27","DOBUTAMINE","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Pmcoa_3995779,Pmcoa_5880815,Medline_11125417,Medline_29611347,Pmcoa_5471367,Medline_21179795"
"28","L-ISOPROPYLNORADRENALINE","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Medline_2414581,Medline_9007523,Medline_10510435,Medline_9249239"
"29","TULOBUTEROL","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Medline_20930390,Medline_16021849"
"30","PIRBUTEROL","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Medline_2410738,Medline_8818596,Pmcoa_4869944,Patent_EP1971369A2,Patent_WO2007071313A2"
"31","EPHEDRINE","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Pmcoa_3991622,Pmcoa_6004912,Medline_10209080"
"32","INDACATEROL","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Medline_17135231,Pmcoa_3299544,Pmcoa_3964838,Medline_29114070,Medline_22932315,Medline_25065493,Pmcoa_2899782,Patent_WO2009154555A1,Pmcoa_4364307,Pmcoa_5534043,Pmcoa_4145369,Medline_19452036,Pmcoa_2682927"
"33","TERBUTALINUM","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Pmcoa_4109565,Patent_US20110027352"
"34","VILANTEROL","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Patent_US20170143625A1,Medline_23184737,Pmcoa_3693428,Medline_23043183"
"35","OLODATEROL","ADRB2","ARTHRITIS","Pmcoa_4127464,Pmcoa_4832233","Pmcoa_4364307,Pmcoa_4675639,Medline_22483689,Pmcoa_4065340,Patent_US20140100222,Patent_US20160074410,Medline_28687462,Patent_US20170216298,Medline_25781609,Medline_22796455,Medline_26683033,Pmcoa_4507158,Patent_US20140235627,Pmcoa_4548739"
"36","SOLVENT XYLENE","AFF1","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_22291604,Pmcoa_3266877","Patent_EP0549980A1,Patent_EP0549980B1"
"37","FAMCICLOVIR","AFF1","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_22291604,Pmcoa_3266877","Patent_US20070031454,Patent_US7790169,Patent_US20110052619"
"38","ENTECAVIR","AFP","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_7562773,Medline_2409682","Medline_25707935,Medline_19818003"
"39","DAIDZIN","ALDH2","AGE RELATED OSTEOPOROSIS","Pmcoa_4085729,Medline_28474171,Pmcoa_5544803,Medline_22508505","Patent_EP0592583B1,Patent_EP0592583A1,Pmcoa_4838626,Medline_8032168,Pmcoa_5226516,Medline_19673742,Medline_8433985,Medline_24273684,Patent_US6255497,Medline_28219011,Medline_21123025,Pmcoa_5094945,Pmcoa_5667593,Pmcoa_5104933,Medline_30538807,Pmcoa_6309505,Medline_15377279,Medline_30187866,Medline_25084483,Medline_25543082,Pmcoa_3684953,Pmcoa_6261243,Patent_US8124389,Medline_26221217,Medline_29047162,Pmcoa_5654254,Patent_US20090124672A1,Pmcoa_5271370,Patent_US20090124672,Patent_EP2751090A1,Medline_9482862,Medline_9050837"
"40","NITRO IV","ALDH2","AGE RELATED OSTEOPOROSIS","Pmcoa_4085729,Medline_28474171,Pmcoa_5544803,Medline_22508505","Pmcoa_4500370,Pmcoa_3506295"
"41","GDC 0152","ALPI","CHRONIC ULCERATIVE COLITIS","Medline_19885903,Patent_EP3242954A1,Patent_WO2016111752A1,Patent_US20160201110","Pmcoa_4448993,Pmcoa_5355046"
"42","POTASSIUM LOSARTAN","ANG","ARTHRITIS","Medline_12653852,Pmcoa_4997264,Medline_8724206,Pmcoa_5701946","Medline_7849254,Medline_1329044"
"43","BROMOACETATE ION","ANG","ARTHRITIS","Medline_12653852,Pmcoa_4997264,Medline_8724206,Pmcoa_5701946","Medline_3178849,Medline_3122207"
"44","MEDRYSONE","ANG","ARTHRITIS","Medline_12653852,Pmcoa_4997264,Medline_8724206,Pmcoa_5701946","Patent_US6193943,Patent_US5712402,Patent_US5855864"
"45","MLN 4760","ANG","ARTHRITIS","Medline_12653852,Pmcoa_4997264,Medline_8724206,Pmcoa_5701946","Pmcoa_5641337,Medline_22318946,Patent_US20060257861"
"46","ACTINONIN","ANPEP","AGE RELATED OSTEOPOROSIS","Pmcoa_3699501,Pmcoa_4128281","Patent_US5021549,Patent_EP1675594A2,Patent_WO2005037779A2,Medline_10873564,Patent_US20050113310,Pmcoa_5622148,Medline_16778789,Patent_US20040147434,Patent_US20070042938,Medline_17981718,Pmcoa_5385526,Medline_14757368,Medline_12443882,Medline_18973761,Medline_19264392,Medline_7961121,Patent_US8263636,Pmcoa_4658336,Patent_US20070037752,Patent_US20110117069,Patent_US20070078130,Patent_US20140336159,Patent_WO1998044923A1,Pmcoa_2821472,Patent_WO2013052844A1,Patent_US20070037785,Medline_9602161,Pmcoa_3359464,Patent_EP0167936A2,Patent_US4663342"
"47","[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].COCCO[C@H]1[C@@H](O)[C@H](COP([O-])(=O)S[C@H]2[C@H](COP([O-])(=O)S[C@H]3[C@H](COP([O-])(=O)S[C@H]4[C@H](COP([O-])(=O)S[C@@H]5[C@@H](COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@@H]6[C@@H](COP([O-])(=O)S[C@@H]7[C@@H](COP([O-])(=O)S[C@@H]8[C@@H](COP([O-])(=O)S[C@@H]9[C@@H](COP([O-])(=O)S[C@@H]%10[C@@H](CO)O[C@H]([C@@H]%10OCCOC)n%10cnc%11c%10nc(N)[nH]c%11=O)O[C@H]([C@@H]9OCCOC)n9cc(C)c(N)nc9=O)O[C@H]([C@@H]8OCCOC)n8cc(C)c(N)nc8=O)O[C@H]([C@@H]7OCCOC)n7cc(C)c(=O)[nH]c7=O)O[C@H]([C@@H]6OCCOC)n6cc(C)c(N)nc6=O)n6cnc7c(N)ncnc67)n6cnc7c6nc(N)[nH]c7=O)n6cc(C","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Medline_23013161,Medline_25614280,Pmcoa_3213337,Pmcoa_5368119,Pmcoa_4611011,Pmcoa_5143762,Medline_21210756,Medline_23226021,Pmcoa_3513909,Pmcoa_4537493,Medline_25887676,Medline_25950706,Pmcoa_3944745,Pmcoa_4971090,Medline_28018102,Patent_WO2017100682A1,Patent_EP2408796A1,Medline_25027352,Patent_US20120129911,Patent_US9107933,Patent_WO2010107838A1,Medline_21593041,Medline_23152839,Pmcoa_3496741,Medline_24013058,Patent_US20150139987,Medline_22301884,Medline_26819195,Pmcoa_3373191,Patent_EP3071198A1,Patent_WO2015077154A1,Medline_18549334,Medline_22799743,Patent_US20170037399,Patent_WO2017015555A1,Patent_WO2017192664A1,Pmcoa_3838598,Pmcoa_5874549,Pmcoa_4305106,Medline_23856914,Pmcoa_3816708,Pmcoa_4081088,Pmcoa_5341404,Pmcoa_5332926"
"48","EVOLOCUMAB","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Pmcoa_6039422,Pmcoa_5721820,Pmcoa_5510512,Pmcoa_4625402,Medline_24678979,Pmcoa_5513834,Pmcoa_5794417"
"49","PRAVASTATIN SODIUM","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Medline_3106756,Patent_EP1680086A2,Patent_US20050096390,Patent_US20060068015"
"50","LOMITAPIDE","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Pmcoa_5392476,Medline_28255870,Pmcoa_3820450,Pmcoa_4611011,Medline_23959229,Patent_WO2017100682A1"
"51","ALIROCUMAB","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Medline_28862926,Pmcoa_4644253,Pmcoa_5098466,Pmcoa_5706592,Patent_US20190031774A1"
"52","BAMBUTEROL","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Pmcoa_4485901,Medline_26137575"
"53","CERIVASTATIN","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Medline_20598021,Patent_US6696084,Patent_WO2005018626A1,Patent_EP1322289A1,Patent_EP1361867A1,Patent_US6534088,Patent_WO2002024169A1,Patent_EP1322289B1,Patent_EP1660066B1,Patent_US20020161032,Medline_15146374"
"54","EICOSAPENTAENOIC ACID ETHYL ESTER","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Pmcoa_5615463,Medline_22819432"
"55","[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].CSCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCNC(=O)[C@@H]1N=CC[C@H]1C)C(O)=O.COCCO[C@H]1[C@@H](O)[C@H](COP([O-])(=O)S[C@H]2[C@H](COP([O-])(=O)S[C@H]3[C@H](COP([O-])(=O)S[C@H]4[C@H](COP([O-])(=O)S[C@@H]5[C@@H](COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@H]6C[C@@H](O[C@@H]6COP([O-])(=O)S[C@@H]6[C@@H](COP([O-])(=O)S[C@@H]7[C@@H](COP([O-])(=O)S[C@@H]8[C@@H](COP([O-])(=O)S[C@@H]9[C@@H](COP([O-])(=O)S[C@@H]%10[C@@H](CO)O[C@H]([C@@H]%10OCCOC)n%10cnc%11c%10nc(N)[nH]c%11=O)O[C@H]([C@@H]9OCCOC)n9cc(C)c(N)nc9","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Pmcoa_5090806,Pmcoa_4345304,Pmcoa_5341404"
"56","ICOSAPENT ETHYL","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Pmcoa_3572383,Medline_23325450"
"57","MALONYL","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Patent_EP3186377A1,Patent_WO2016028649A1"
"58","EPA ETHYL ESTER","APOB","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Patent_WO2015066512A1,Patent_US20140357717,Pmcoa_5282870,Medline_22819432,Patent_US20160058729"
"59","ETHYLENE LACTIC ACID","AQP1","SJOGREN'S SYNDROME","Patent_EP2890791A2,Patent_WO2014036468A2,Medline_28458621,Pmcoa_5407981","Patent_US20160230195,Patent_US20130109064"
"60","BISACODYL","AQP3","SCLERODERMA","Medline_28732436,Medline_27456753","Medline_23995803,Pmcoa_4964543"
"61","LEUPRORELIN","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Pmcoa_3376774,Medline_16358333"
"62","ABIRATERONE ACETATE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Medline_27756383,Pmcoa_5069876,Pmcoa_3399094,Medline_25332874,Pmcoa_5652756,Medline_23957948,Pmcoa_4449347,Medline_24188261,Medline_23043326,Pmcoa_5471027,Pmcoa_5312218,Pmcoa_5664321,Clinicaltrial_NCT00755885,Pmcoa_5066251,Pmcoa_5832885,Patent_US20150005308,Medline_28844372,Pmcoa_5015575,Medline_25341420,Patent_EP2802563B1,Pmcoa_5366817"
"63","CYPROTERONE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Medline_14643695,Medline_19383315,Medline_12020745,Medline_15242831,Patent_US20090082250,Pmcoa_4829986"
"64","PHENYL CYANIDE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Patent_US9205102,Medline_10966753"
"65","7ALPHA-METHYLNANDROLONE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Medline_22065861,Patent_US20040097477"
"66","ENOBOSARM","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Patent_US20170319597,Patent_WO2017066827A1,Medline_26393303"
"67","TRIFLUOROETHANOL","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Patent_US20160303523,Patent_WO2015070004A1"
"68","CHEBI:18011","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Patent_WO2014137420A1,Medline_10500149,Pmcoa_5739659"
"69","BOLDENONE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Patent_WO2015112866A2,Pmcoa_4708230"
"70","APALUTAMIDE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Medline_23880851,Pmcoa_4969752,Pmcoa_3742227,Medline_23043326,Medline_24658665,Medline_25708954,Patent_WO2017223344A1,Patent_US20160279149,Patent_US20150366882,Patent_US20170232005,Medline_24002508,Patent_US9598459,Patent_US9861643,Patent_WO2017023694A1,Patent_US20170051007,Patent_US20170128465,Patent_US9855284,Patent_WO2017180086A1,Patent_US9314473,Patent_US9636351,Medline_27160947,Pmcoa_5568792,Pmcoa_5640574,Medline_22266222,Pmcoa_3845551,Pmcoa_5832885,Patent_US20170014391,Patent_US20160289261,Patent_WO2015089338A2,Pmcoa_4673554,Pmcoa_4490394,Patent_US20160038511,Pmcoa_4708226,Patent_WO2017023916A1"
"71","NILUTAMIDE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Pmcoa_6356740,Medline_11690559,Pmcoa_3408501,Patent_EP2222636A2,Patent_EP2222636B1,Patent_US20190040006A1,Patent_US9675583,Medline_7748811,Medline_8290386,Medline_21134350,Medline_16125883,Medline_2293989,Medline_24750035,Medline_20194727,Medline_17196933,Medline_30542657,Medline_20416296,Medline_22172556,Medline_2930595,Medline_16857237,Patent_EP2124928A1,Medline_26308493,Medline_15110097,Medline_24686741,Patent_US20130045172A1,Patent_US20130045172,Pmcoa_3469392,Patent_US8263651,Pmcoa_3404934,Pmcoa_4604168,Medline_27749325,Medline_3009970,Patent_EP3111950A1,Patent_US09801893,Patent_US20180036318A1,Patent_US9801893,Patent_US20180036318,Patent_US20160151388,Patent_US20160151388A1,Pmcoa_4266803,Patent_US9289436,Patent_EP3327144A1,Patent_EP2959013A2,Patent_US20160002727A1,Patent_US10011874,Patent_US20160002727,Patent_EP1916896A2,Patent_US07645885,Patent_US20070087352A9,Patent_US7645885,Patent_US8741951,Patent_EP2334180A1,Patent_US20110230504"
"72","BPH 1","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Pmcoa_3666053,Pmcoa_5308847"
"73","R1881","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Patent_WO2011079245A1,Patent_EP2515650A1,Patent_US20120269725,Patent_US20170151355,Pmcoa_3507642,Patent_WO2009044115A1,Patent_WO2006024144A1,Patent_US9439912,Patent_EP2043646A2,Patent_EP2537845A1,Patent_EP1891038A2,Patent_EP2406252B1,Patent_US20110118326,Patent_EP2094658A2,Patent_EP2235007B1,Patent_EP2537845B1,Patent_US7935722,Patent_US8486943,Patent_WO2006124447A2,Patent_EP2766350B1,Patent_US20100069404,Patent_WO2009085584A1,Patent_US20110039855,Patent_US7994164,Patent_EP2406252A1,Patent_EP2235007A1,Patent_US7968587,Patent_US8658638,Patent_US20100280062,Patent_WO2015130568A1,Patent_US7807691,Patent_WO2010104721A1,Patent_EP1597254A1,Patent_EP2499135A1,Patent_US8101761,Patent_WO2011060019A1,Patent_US8183388,Patent_EP2297100B1,Patent_US20090163472,Patent_WO2004067529A1"
"74","OXANDROLONE","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Pmcoa_5038975,Medline_17364004,Pmcoa_1828036,Medline_15219414"
"75","ORTERONEL","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Pmcoa_4754414,Medline_28463227"
"76","3ALPHA-ANDROSTANEDIOL","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Medline_16638015,Pmcoa_1402217"
"77","DHEAS","AR","AGE RELATED OSTEOPOROSIS","Medline_27402268,Medline_15987833,Patent_EP1480634B1,Patent_US8088828,Patent_US7776921,Medline_15511132,Medline_17907058,Medline_20348548,Patent_WO2001073116A2","Medline_17548088,Medline_15249140"
