"Source","Target","Confidence","Documents","Doc_IDs"
"RXFP2","AGE RELATED OSTEOPOROSIS",69.8651075954631,11,"Medline_22216350,Pmcoa_3247287,Patent_EP2167534B1,Patent_EP2167534A2,Patent_US20150307572,Patent_US20140005097,Patent_US8987191,Patent_US20110177998,Patent_US8492329,Patent_WO2009007848A2,Pmcoa_5817937"
"WNT4","AGE RELATED OSTEOPOROSIS",74.1822741770413,5,"Medline_25108526,Patent_US20160346350,Patent_WO2015116853A1,Pmcoa_4159424,Pmcoa_5028957"
"EPHA2","AGE RELATED OSTEOPOROSIS",68.5521801983177,2,"Medline_29138859,Pmcoa_5780101"
"GHR","AGE RELATED OSTEOPOROSIS",69.8347120550345,2,"Patent_US20040033948,Medline_23812803"
"RHOV","AGE RELATED OSTEOPOROSIS",72.6534867220049,4,"Medline_23269885,Pmcoa_3529243,Medline_23093986,Pmcoa_3474988"
"DDIT3","AGE RELATED OSTEOPOROSIS",67.4237011751756,2,"Medline_23737866,Pmcoa_3671778"
"WNT16","AGE RELATED OSTEOPOROSIS",62.8712306988541,2,"Medline_28013361,Pmcoa_4599960"
"PLEKHO1","AGE RELATED OSTEOPOROSIS",74.1138228827379,5,"Pmcoa_5269586,Pmcoa_5334543,Patent_US20160272967,Pmcoa_5895943,Medline_28128304"
"SMURF1","AGE RELATED OSTEOPOROSIS",64.4418381626676,2,"Medline_28881580,Pmcoa_5584161"
"CTSB","AGE RELATED OSTEOPOROSIS",71.0781396284482,3,"Medline_24881000,Patent_EP2353599A1,Patent_WO2011091973A1"
"PPIA","AGE RELATED OSTEOPOROSIS",69.8056252251046,2,"Medline_26932182,Pmcoa_4774113"
"SLC11A2","AGE RELATED OSTEOPOROSIS",70.7896428368622,3,"Pmcoa_5370290,Medline_26078704,Pmcoa_4466406"
"DDOST","AGE RELATED OSTEOPOROSIS",76.920111220726,4,"Medline_27210803,Pmcoa_3809875,Pmcoa_3960559,Pmcoa_4750174"
"LYPD4","AGE RELATED OSTEOPOROSIS",67.624975074705,2,"Medline_25359586,Pmcoa_5620077"
"FDPS","AGE RELATED OSTEOPOROSIS",64.2752678352443,3,"Patent_EP2234608A2,Patent_EP2543368A1,Medline_26314394"
"FOXO1","AGE RELATED OSTEOPOROSIS",72.5271405216814,2,"Medline_26700816,Pmcoa_5746307"
"TPH1","AGE RELATED OSTEOPOROSIS",66.1666543882883,2,"Patent_US20170348331,Medline_24844139"
"EZH2","AGE RELATED OSTEOPOROSIS",70.2681374791918,2,"Pmcoa_5670205,Medline_26307668"
"GBP1","AGE RELATED OSTEOPOROSIS",61.5369755964457,2,"Medline_29348519,Pmcoa_5773562"
"ESRRA","AGE RELATED OSTEOPOROSIS",65.4538450775832,4,"Pmcoa_4041375,Patent_EP1398029A1,Patent_EP1398029A8,Patent_WO2004024148A1"
"ZDHHC13","AGE RELATED OSTEOPOROSIS",63.0801388380913,2,"Medline_28526873,Pmcoa_5438363"
"CEACAM1","AGE RELATED OSTEOPOROSIS",69.4532653250319,2,"Medline_2788062,Pmcoa_4386164"
"ATP6V1H","AGE RELATED OSTEOPOROSIS",61.6820149769059,2,"Medline_27924156,Pmcoa_5135442"
"WNT10B","AGE RELATED OSTEOPOROSIS",73.3731541974088,3,"Pmcoa_3153316,Medline_26135835,Pmcoa_5538695"
"ACP1","AGE RELATED OSTEOPOROSIS",67.6411929154285,2,"Medline_27536268,Pmcoa_4971437"
"MEN1","AGE RELATED OSTEOPOROSIS",66.3974451877163,2,"Medline_28106886,Pmcoa_5384024"
"GIP","AGE RELATED OSTEOPOROSIS",70.6420302079013,13,"Medline_26642272,Patent_EP1119625A1,Patent_EP1119625B1,Patent_US20130137631,Patent_US6410508,Patent_US20130196913,Patent_US8895498,Patent_US20080312157,Patent_US20090036364,Patent_US20130281374,Patent_US8263545,Patent_US8404637,Patent_US9133260"
"EFNA2","AGE RELATED OSTEOPOROSIS",63.9592192635669,2,"Medline_29138859,Pmcoa_5780101"
"CSE","AGE RELATED OSTEOPOROSIS",69.028966203809,2,"Medline_25759206,Pmcoa_4355730"
"SQRDL","AGE RELATED OSTEOPOROSIS",61.8036578858788,2,"Medline_26258864,Pmcoa_4530967"
"BPIFA2","AGE RELATED OSTEOPOROSIS",64.4681920317876,2,"Pmcoa_4995504,Medline_27554324"
"DBP","AGE RELATED OSTEOPOROSIS",70.3638193480378,5,"Pmcoa_2729412,Patent_US20030229014,Patent_US7226904,Patent_US7038010,Patent_WO2002058589A2"
"MIR106B","AGE RELATED OSTEOPOROSIS",76.1986086907245,3,"Medline_28108317,Pmcoa_4662469,Medline_28148913"
"BMP3","AGE RELATED OSTEOPOROSIS",63.188733226751,13,"Patent_US20080176799,Patent_US7691816,Medline_29435407,Patent_US20030082233,Patent_EP1370287A2,Patent_US20060252724,Patent_WO1989010409A1,Patent_WO2002043759A2,Pmcoa_5794463,Patent_US20080241164,Patent_US20050272653,Patent_US7625867,Patent_WO2005094871A2"
"IBSP","AGE RELATED OSTEOPOROSIS",65.9683556810413,4,"Pmcoa_4381855,Patent_EP3182995A2,Patent_US20170204172,Patent_WO2016026917A2"
"FGFR3","AGE RELATED OSTEOPOROSIS",66.7432839128552,2,"Patent_US20040109850,Pmcoa_5666524"
"SMAD5","AGE RELATED OSTEOPOROSIS",66.2682112466978,2,"Pmcoa_5269586,Patent_US7358056"
"PTRH1","AGE RELATED OSTEOPOROSIS",73.2126288566973,5,"Patent_US20170129935,Pmcoa_3156480,Pmcoa_3976339,Pmcoa_4963112,Pmcoa_5666524"
"MEPE","AGE RELATED OSTEOPOROSIS",70.3456399439548,2,"Pmcoa_3250972,Pmcoa_3836996"
"ST8","AGE RELATED OSTEOPOROSIS",68.0424010387385,2,"Pmcoa_5662859,Pmcoa_5404672"
"MGARP","AGE RELATED OSTEOPOROSIS",68.7863109469647,2,"Pmcoa_5365206,Pmcoa_5514202"
"CCL26","ALLERGIC ANGIITIDES",69.1839363929773,2,"Medline_18397958,Medline_21266446"
"CD83","ANGIITIDES",74.4896360517531,85,"Patent_EP1959993A2,Patent_US8709382,Patent_US9278129,Patent_US20120276608,Patent_US20140017168,Patent_US20150057432,Patent_US20150307524,Patent_US7858070,Patent_US8420783,Patent_WO2006063150A2,Patent_US20120237442,Patent_US9115172,Patent_US9550838,Patent_EP1959993B1,Patent_US20120134920,Patent_US20120230953,Patent_US20150150969,Patent_US20160176968,Patent_US8758726,Patent_EP1819731A2,Patent_US20110143417,Patent_US8545809,Patent_US8889100,Patent_US20140050660,Patent_US20140228541,Patent_US20060140936,Patent_US20090191225,Patent_US20130323204,Patent_US7527787,Patent_WO2017007807A1,Patent_EP2674440A2,Patent_US7521056,Patent_US8211440,Patent_US8420786,Patent_US9657093,Patent_US9809646,Patent_EP1874358A2,Patent_US20080108794,Patent_US20130123473,Patent_US20130177498,Patent_US20150024458,Patent_US20150050715,Patent_US20160199524,Patent_US20170007727,Patent_WO2013181087A2,Patent_WO2014127200A1,Patent_US20170247417,Patent_US20140234209,Patent_US20160130333,Patent_US9028800,Patent_US9540435,Patent_WO2007075270A2,Patent_WO2012162583A1,Patent_WO2014028560A2,Patent_US20070140966,Patent_US20080241141,Patent_US20160176980,Patent_US20170088635,Patent_US8906377,Patent_US9315567,Patent_WO2006107786A2,Patent_EP2651411A2,Patent_EP2885002A2,Patent_US20110158905,Patent_US20170022274,Patent_US20170283442,Patent_EP2931314A1,Patent_EP3242691A1,Patent_US20090269277,Patent_US20140377177,Patent_US20170218059,Patent_US8883160,Patent_EP2854845A2,Patent_US20060228300,Patent_US20080241145,Patent_US20130315821,Patent_US20160340443,Patent_US8987421,Patent_US9446123,Patent_WO2016111797A1,Patent_US20110110851,Patent_US7871622,Pmcoa_3702702,Medline_14734523,Pmcoa_2211768"
"UCN","ANGIITIDES",73.706052122305,3,"Medline_24064363,Medline_19694731,Medline_19572944"
"ACSM3","ANGIITIDES",75.6072547814579,3,"Pmcoa_5307932,Pmcoa_3833635,Pmcoa_5751183"
"SSRP1","ANGIITIDES",77.2462683497886,4,"Pmcoa_4382936,Pmcoa_5487910,Medline_28181422,Pmcoa_4401773"
"GYPA","ANGIITIDES",71.5518822453285,3,"Pmcoa_3607855,Medline_26148397,Pmcoa_4548096"
"KIR2DS2","ANGIITIDES",72.2611278784368,3,"Pmcoa_3529305,Pmcoa_2193323,Medline_20722764"
"WG","ANGIITIDES",72.7624769081358,3,"Medline_2617082,Medline_17873756,Pmcoa_1431512"
"SERP1","ANGIITIDES",65.2727362255136,2,"Medline_26620556,Pmcoa_4319900"
"ERAP2","ANKYLOSING SPONDYLARTHRITIDES",74.4947585435872,3,"Medline_28029742,Medline_20531381,Medline_26088389"
"ANTXR2","ANKYLOSING SPONDYLARTHRITIDES",72.3785613260632,3,"Medline_22118297,Medline_26728147,Medline_25200001"
"TRH","ANKYLOSING SPONDYLARTHRITIDES",74.1907903697965,2,"Medline_7858584,Medline_8763085"
"SCT","ANKYLOSING SPONDYLARTHRITIDES",69.2979101035511,2,"Medline_22410749,Patent_WO2015163778A1"
"ANKH","ANKYLOSING SPONDYLARTHRITIDES",72.2679003277548,4,"Medline_23612078,Medline_15899038,Pmcoa_1174945,Medline_22859534"
"ALPL","ANKYLOSING SPONDYLARTHRITIDES",70.3307260616547,2,"Medline_23612078,Medline_17195227"
"SYNPR","ANKYLOSING SPONDYLARTHRITIDES",69.6083040720924,2,"Pmcoa_2852074,Pmcoa_3337895"
"GDF15","ANKYLOSING SPONDYLARTHRITIDES",69.3226247117617,4,"Patent_EP3201229A1,Patent_US20170290885,Patent_WO2016050796A1,Medline_29497899"
"CREG1","ANKYLOSING SPONDYLARTHRITIDES",73.6899124692916,3,"Medline_6606464,Medline_6335328,Medline_6673112"
"JMY","ANKYLOSING SPONDYLARTHRITIDES",66.6666666666667,4,"Medline_24069348,Medline_23758122,Pmcoa_3777963,Pmcoa_5499021"
"KDM5A","ANKYLOSING SPONDYLARTHRITIDES",60.774867047006,2,"Medline_24069348,Pmcoa_3777963"
"QPCT","ANKYLOSING SPONDYLARTHRITIDES",61.3919592503098,2,"Medline_27538101,Pmcoa_4999015"
"MECOM","ANKYLOSING SPONDYLARTHRITIDES",62.911852676418,2,"Medline_29434723,Pmcoa_5774495"
"BMP6","ANKYLOSING SPONDYLARTHRITIDES",62.9965907785105,2,"Pmcoa_3003511,Medline_14558086"
"TMEM106C","ANKYLOSING SPONDYLARTHRITIDES",67.9301733445279,2,"Pmcoa_4190911,Pmcoa_4516968"
"IRF4","ANKYLOSING SPONDYLARTHRITIDES",66.289300433567,2,"Pmcoa_4975853,Medline_26452539"
"CCL19","ANKYLOSING SPONDYLARTHRITIDES",67.083906885964,2,"Pmcoa_4190335,Medline_25260647"
"PPARGC1B","ANKYLOSING SPONDYLARTHRITIDES",58.3333333333333,2,"Medline_23637848,Pmcoa_3630117"
"HDAC3","ANKYLOSING SPONDYLARTHRITIDES",63.8721484706168,2,"Medline_26531724,Pmcoa_4686114"
"H3F3AP4","ANKYLOSING SPONDYLARTHRITIDES",63.0627135781434,2,"Medline_27885553,Pmcoa_5126192"
"TNFAIP1","ANKYLOSING SPONDYLARTHRITIDES",68.711446147442,2,"Pmcoa_4153545,Pmcoa_3537770"
"F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME",77.8753878098338,5,"Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503"
"F12","ANTI PHOSPHOLIPID ANTIBODY SYNDROME",78.3977979541773,5,"Medline_15869593,Medline_10997986,Medline_11916074,Medline_16324213,Pmcoa_1322227"
"BW52","AORTIC ARCH SYNDROME",67.6400263124297,2,"Medline_1360956,Medline_1360952"
"F2RL1","ARTHRITIS",93.462993284824,22,"Pmcoa_2834159,Medline_21072196,Pmcoa_2970545,Pmcoa_5713460,Pmcoa_5184784,Pmcoa_5569523,Medline_16260582,Patent_EP2773366B1,Patent_EP2773366A1,Patent_US20090022729,Patent_US20100119506,Patent_US20100113608,Patent_US20110311553,Patent_US20100113523,Patent_WO2010053902A2,Patent_WO2013064583A1,Patent_WO2010059372A2,Pmcoa_2834098,Medline_19683949,Pmcoa_3176495,Medline_20651095,Pmcoa_3842752"
"IL32","ARTHRITIS",92.645740291038,15,"Pmcoa_4415006,Pmcoa_4192143,Pmcoa_4770721,Medline_22527134,Pmcoa_4669668,Pmcoa_1794509,Medline_17619821,Medline_17984580,Pmcoa_3978668,Pmcoa_3446501,Pmcoa_2613539,Patent_WO2015001047A1,Medline_20472585,Pmcoa_4603785,Pmcoa_3674587"
"HSPA5","ARTHRITIS",90.6544388633096,12,"Pmcoa_3334641,Pmcoa_5131008,Medline_18575276,Medline_24431899,Medline_22430489,Pmcoa_3890471,Pmcoa_4824496,Pmcoa_3328363,Pmcoa_3342250,Pmcoa_2834054,Pmcoa_2714101,Patent_WO2008121385A2"
"LGALS9","ARTHRITIS",89.4315387180001,14,"Patent_US20150368344,Patent_US9284377,Medline_19800850,Medline_23585851,Pmcoa_3621869,Patent_EP2650361A1,Pmcoa_3886720,Pmcoa_5809993,Patent_US20130323176,Patent_US9493741,Patent_US20170010282,Patent_US9528089,Patent_WO2013043516A1,Medline_29481735"
"PLAU","ARTHRITIS",89.6111986273437,9,"Patent_US5444153,Patent_WO1991009124A1,Patent_US20030096733,Patent_WO2003033009A2,Pmcoa_154426,Medline_12716448,Pmcoa_4516528,Pmcoa_2991036,Pmcoa_2888184"
"NCF1","ARTHRITIS",90.1989748976268,16,"Pmcoa_1564167,Pmcoa_464915,Pmcoa_1174944,Pmcoa_5087835,Pmcoa_1884140,Pmcoa_1175041,Medline_16908843,Pmcoa_1475880,Patent_US7943338,Medline_15310853,Pmcoa_3009959,Pmcoa_4237797,Pmcoa_4631371,Pmcoa_3884758,Pmcoa_4033533,Medline_21728841"
