"Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref","keep_new"
"VESTIPITANT","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Medline_24108409,Medline_20478677","keep"
"NETUPITANT","B3GAT1","ARTHRITIS","Medline_22687356,Pmcoa_17819","Pmcoa_4282341,Patent_US6479483,Patent_US20020091265,Patent_EP2722045B1,Patent_EP2727590B1,Pmcoa_5658448,Patent_EP2722044B1,Medline_25843024,Patent_WO2017147104A1,Medline_22736506,Medline_25077526","keep"
"HYDROXYMETHYLFURFURAL","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_4846015,Pmcoa_4146024","keep"
"IOPAMIDOL","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_5364980,Medline_28260077","keep"
"ATRACURIUM","BAX","CHRONIC ULCERATIVE COLITIS","Medline_11413108,Medline_17629044","Pmcoa_5042291,Medline_27729798","keep"
"AMINOOXYACETIC ACID","CBS","AGE RELATED OSTEOPOROSIS","Pmcoa_2630375,Medline_18987302","Medline_18940190,Medline_24145109,Medline_18201837,Pmcoa_4706096,Medline_23226735,Medline_25944997,Pmcoa_5904033,Medline_28383821,Medline_23063804,Pmcoa_3258007,Pmcoa_4372268,Medline_12160876,Pmcoa_4543995,Pmcoa_5131276,Patent_US20090214673,Pmcoa_4332225,Pmcoa_4741935,Pmcoa_3827285,Medline_16781459,Medline_21866187,Pmcoa_3875657,Pmcoa_4845716,Patent_US8092838,Medline_28713283,Pmcoa_4204999,Medline_24667534,Medline_27257787,Pmcoa_4658482,Medline_19255435,Pmcoa_3411702,Pmcoa_4372083,Pmcoa_5407269,Medline_23215842,Medline_25662313,Pmcoa_3493714,Medline_27440715","keep"
"(S)-2-AMINO-4-PENTYNOIC ACID","CBS","AGE RELATED OSTEOPOROSIS","Pmcoa_2630375,Medline_18987302","Medline_28847570,Pmcoa_3469557","keep"
"MIMOSINE","CCND1","CHRONIC ULCERATIVE COLITIS","Medline_12827612,Patent_US20140031389,Patent_US20100285002","Medline_10530763,Medline_10995875","keep"
"RONICICLIB","CCND1","CHRONIC ULCERATIVE COLITIS","Medline_12827612,Patent_US20140031389,Patent_US20100285002","Pmcoa_5427913,Patent_US20180163178,Patent_US20180163178A1","keep"
"SULBACTAM","CD248","GRANULOMATOSIS WITH POLYANGIITIS","Medline_28615072,Pmcoa_5471953","Pmcoa_5036594,Medline_9527373,Pmcoa_5456380,Medline_7606585,Medline_9062788","keep"
"VARLILUMAB","CD27","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_8938100,Medline_7641505,Medline_26713408,Medline_25156507,Pmcoa_2039801","Medline_28500025,Pmcoa_4649460","keep"
"CHYMOPAPAIN","CD34","AGE RELATED OSTEOPOROSIS","Medline_22724005,Pmcoa_3377665,Pmcoa_4530234","Medline_7514449,Medline_9217192","keep"
"ISATUXIMAB","CD38","ARTHRITIS","Pmcoa_3306406,Pmcoa_4418770","Patent_EP3215541A1,Patent_WO2016071355A1,Medline_24987056,Patent_WO2015123687A1,Patent_US20160346403,Patent_EP3104882A1,Pmcoa_5030378,Patent_US20170049908","keep"
"MILATUZUMAB","CD74","SYSTEMIC LUPUS ERYTHEMATOSUS","Patent_EP2605788A2,Patent_WO2012024223A2,Medline_28219888,Patent_US20170266281,Patent_US20160279239,Medline_27752708","Patent_US20130164214,Patent_US20110243841,Patent_US20170088619,Patent_WO2011123428A1,Patent_EP2552483A1,Pmcoa_3446420,Pmcoa_3200112,Patent_US8119101,Patent_US20130142729,Patent_US20100272636,Patent_US20120100068,Patent_US8367037,Patent_US8846002,Medline_20574049,Medline_21417823,Patent_US20170266281,Patent_US20160279239,Patent_US20160303253,Patent_US9499631,Patent_US9707302,Patent_WO2016210108A1,Patent_US9028833,Patent_US9375489,Patent_US9458242,Patent_US20140219914,Patent_US20160095939,Patent_US9629926,Patent_US20150196662,Patent_US9493574,Patent_US9855344,Patent_US20150196665,Patent_US9493573,Patent_WO2016057398A1,Patent_US20150202320,Patent_US20150196653,Patent_US20170165370,Patent_US9481732,Patent_US20140227180,Patent_US20160090423,Patent_US20160256562,Patent_US9475884,Patent_WO2017004144A1,Patent_US20150196654,Patent_US20150216997,Patent_US20160032004,Patent_US20170014403,Patent_WO2014092804A1,Patent_EP3024460A2,Patent_EP3204018A1,Patent_US20150306243,Patent_US9107960,Patent_US9522959,Patent_US20160296633,Patent_US20170274093,Patent_US20150196664,Patent_EP2900277A1,Patent_WO2015012904A2,Patent_US20140170063,Patent_US20150196661,Patent_US9226973,Patent_US20150196666,Patent_US20150202319","keep"
"PEXACERFONT","CRHR1","PSORIASIS","Medline_22350180,Medline_22360979,Medline_19560286","Pmcoa_6138948,Medline_27109623,Medline_29064909,Medline_27595147,Pmcoa_4462850,Pmcoa_6308142,Medline_23330973","keep"
"VERUCERFONT","CRHR1","PSORIASIS","Medline_22350180,Medline_22360979,Medline_19560286","Clinicaltrial_NCT00511563,Pmcoa_6215613,Pmcoa_6308142,Clinicaltrial_NCT01059227,Medline_27109623,Pmcoa_4082482,Pmcoa_5652029,Pmcoa_6138948,Pmcoa_6236516,Clinicaltrial_NCT01814332,Medline_29505471","keep"
"UNII-88928BS57E","CXCL2","CHRONIC ULCERATIVE COLITIS","Pmcoa_2644704,Medline_23272179,Pmcoa_3525572,Pmcoa_4812449","Pmcoa_6317242,Medline_28749086,Pmcoa_5722510,Medline_29228558","keep"
"ALBENDAZOLE","CYP1A1","AGE RELATED OSTEOPOROSIS","Medline_15647817,Medline_28300467","Pmcoa_6312253,Medline_12451431,Medline_3404457,Pmcoa_3521711","keep"
"REMOXIPRIDE","DRD2","ARTHRITIS","Medline_26693483,Pmcoa_4677027","Medline_24817271,Medline_15997230,Medline_10218872,Medline_7498321,Medline_8378244,Medline_7753765,Medline_8100193,Medline_1672458,Medline_11607043,Medline_7669486,Pmcoa_3602026,Medline_2895483,Patent_EP1578420A2,Patent_WO2004037783A2,Medline_21903866,Medline_9390726,Patent_US20080096926,Pmcoa_3893648,Pmcoa_4720788,Medline_1978494","keep"
"DELCASERTIB","DYT10","PSORIASIS","Patent_EP0805158A3,Patent_EP0805158B1,Patent_EP0657458B1,Patent_EP1449529B1,Patent_EP0805158A2,Patent_US20050287132,Patent_EP0657458A1,Pmcoa_2678983","Patent_EP2194124A1,Patent_EP1934338A2,Patent_US20110098224,Patent_US20070141040,Patent_WO2007035782A2,Pmcoa_4166028","keep"
"C5H3N4O","EEF1A1","LYME DISEASE","Medline_26954993,Pmcoa_5176084","Pmcoa_2896532,Pmcoa_5059743","keep"
"COPANLISIB","ERBB2","BONE PAGET DISEASE","Medline_21030863,Medline_20418225","Pmcoa_5225172,Medline_24170767","keep"
"MM-302","ERBB2","BONE PAGET DISEASE","Medline_21030863,Medline_20418225","Patent_WO2017136770A1,Medline_26759238,Patent_EP2925361A1,Patent_US20160038416,Patent_WO2014089127A1,Patent_US9610249,Patent_US9226966","keep"
"ADO-TRASTUZUMAB EMTANSINE","ERBB2","BONE PAGET DISEASE","Medline_21030863,Medline_20418225","Medline_30659304,Pmcoa_6341578,Patent_US20100099109,Patent_US20100099109A1,Pmcoa_5704598,Patent_US20180251557,Patent_US20180251557A1,Medline_26606967,Pmcoa_5940380,Pmcoa_4679405,Patent_EP2797628A1,Patent_US9586940,Patent_US09586940,Pmcoa_4927319,Medline_28388007,Pmcoa_6133085,Pmcoa_6324681,Pmcoa_5084478,Pmcoa_5059467,Pmcoa_6244757,Medline_26892972,Pmcoa_4876844,Medline_26318092,Medline_25976081,Pmcoa_4346691,Patent_US20110165155,Patent_US20170202973,Patent_US20140044709,Patent_EP2640727B1,Pmcoa_4058749,Patent_US20140044709A1,Pmcoa_4112050,Pmcoa_3337408,Pmcoa_4609140,Patent_US20120121615,Patent_US20170202973A1,Pmcoa_5708307,Clinicaltrial_NCT00928330,Pmcoa_4396883,Pmcoa_4793192,Medline_26172389,Pmcoa_4501549,Patent_EP3237065A1,Medline_25790739,Pmcoa_5497802,Pmcoa_4229898,Medline_23783223,Patent_EP3319994A1,Patent_US20170007715,Patent_US20190000984A1,Patent_EP2771295A1,Patent_EP2771295B1,Patent_US20150366756A1,Patent_US9474688,Medline_27497829,Medline_28679774,Pmcoa_4629048,Medline_26557900,Medline_21510863,Pmcoa_5768410,Medline_28473206,Medline_27572338,Medline_25398397,Clinicaltrial_NCT02658734,Pmcoa_6250728,Medline_21986845,Medline_26389758,Patent_EP3383918A1,Medline_25024070,Medline_27366963,Clinicaltrial_NCT02605915,Patent_US20170151341,Patent_US20170151341A1,Clinicaltrial_NCT02289833,Medline_26123628,Clinicaltrial_NCT01513083,Pmcoa_5455008,Pmcoa_5627411,Clinicaltrial_NCT01702558,Medline_25342987,Medline_25865453,Pmcoa_3502230,Medline_24987913,Pmcoa_3973200,Pmcoa_6164147,Patent_US20160361360A1,Patent_EP3319995A1,Clinicaltrial_NCT01772472,Medline_24043217,Patent_EP3265079A1,Pmcoa_5455677,Pmcoa_4596905,Patent_US20170035886A1,Medline_26917603,Medline_24662957,Medline_28056202,Patent_EP3307282A1,Clinicaltrial_NCT03529110,Clinicaltrial_NCT02131064,Medline_23402224,Clinicaltrial_NCT01494662,Patent_US20170035886,Pmcoa_5278255,Medline_23946617,Medline_24035823,Pmcoa_6357172,Patent_US09649309,Pmcoa_4596896,Patent_US09555030,Patent_US20150291606,Patent_US09603850,Patent_US20170202847,Pmcoa_5578078,Patent_US9603850,Patent_US20150291606A1,Patent_US20150291609,Patent_US9555030,Patent_US9555031,Patent_US20150291609A1,Patent_US10004755,Patent_US20170202847A1,Pmcoa_5300293,Medline_24898067,Pmcoa_4058446,Pmcoa_5356704,Pmcoa_5716361","keep"
"CP 724714","ERBB2","BONE PAGET DISEASE","Medline_21030863,Medline_20418225","Pmcoa_5988836,Pmcoa_5831215,Pmcoa_5095045,Patent_US20160022680A1,Patent_US10023652,Patent_US20050119288,Pmcoa_5592866,Pmcoa_6174199,Medline_28902361,Patent_EP2968564A1,Pmcoa_6235670,Patent_US20080119530,Patent_US20080119530A1,Patent_US20160022680,Patent_US20160376376,Patent_US20160376376A1,Pmcoa_5882317","keep"
"TRAST","ERBB2","BONE PAGET DISEASE","Medline_21030863,Medline_20418225","Pmcoa_4891060,Patent_WO2016193955A1,Pmcoa_3218942,Pmcoa_4891137","keep"
"XIMELAGATRAN","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Medline_26123214,Patent_EP2158202A1,Patent_WO2006107258A1,Patent_WO2008039139A1,Patent_WO2016162785A1,Patent_EP1869056A1,Patent_EP2069364B1,Patent_US20100035899,Patent_US20150099769,Patent_WO2007142577A1,Patent_EP1824855B1,Patent_EP2029598A1,Patent_EP2121020A2,Patent_US20080312311,Patent_US20090131459,Patent_US20090247555,Patent_US20100226918,Patent_US7947693,Patent_US9580429,Patent_EP2167487B1,Medline_12768805,Patent_US7829707,Patent_US8026244,Patent_US7960395,Patent_WO2008152420A1,Patent_EP1869056B1,Patent_EP2069364A1,Patent_US20110059996,Patent_EP2010535B1,Patent_US20080221133,Patent_US8158785,Patent_WO2008039138A1,Patent_WO2009120140A1,Patent_EP2010535A1,Patent_US20090149475,Patent_EP2029603A1,Patent_US20090286813,Patent_US20110092519,Patent_US20110105537,Patent_WO2006062465A1,Patent_EP2069365A1,Patent_US20090124637,Patent_US20090124640,Patent_US8088780,Patent_WO2006107257A1,Patent_WO2016162787A1,Patent_EP1869055A1,Patent_US20080194527,Patent_US20120100204,Patent_US7943625,Patent_US9440992,Patent_EP2010534A1,Patent_US20080318981,Patent_US7910576,Patent_EP1824855A1,Patent_US20080221136,Patent_US20100099642,Patent_WO2008099144A2,Patent_US20080214578,Patent_US8859568,Patent_WO2007142576A1","keep"
"PROTAMINE SULFATE","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Medline_1335615,Medline_1658966,Pmcoa_4969935,Medline_21297450","keep"
"BETRIXABAN","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Patent_US20150224091,Pmcoa_3595681,Pmcoa_3743339,Pmcoa_4548753,Pmcoa_4428103,Patent_US8404724,Patent_WO2013033370A1,Patent_US20080153876,Pmcoa_3283221,Pmcoa_3763648,Patent_US20080279845,Patent_US20110033459,Patent_US9062298,Patent_US20130230901,Patent_WO2008137787A2,Patent_WO2010117729A1,Patent_WO2013123087A1,Patent_US20150025011,Patent_US8455441,Medline_27881569,Medline_29338293,Patent_US20150057228,Patent_WO2010056765A2,Patent_EP2146705B1,Patent_EP2414517A1,Patent_EP2453910B1,Patent_US20120095019,Patent_US20140044773,Patent_EP3121271A1,Patent_US20110015128,Patent_US8268783,Patent_WO2012031018A1,Patent_WO2017211779A1,Patent_US20170233711,Patent_US9056106,Pmcoa_3782407,Medline_19132191,Medline_29543384,Patent_EP2586439A1,Patent_US20140079684,Patent_US9388401,Medline_23964817,Patent_EP2146705A2,Patent_EP3078743A1,Patent_US20140134151,Patent_US20140323497,Patent_US20170240879,Patent_US20090098119,Patent_EP2414517B1,Patent_EP2453910A1,Patent_US20100125052,Patent_US9587233,Patent_EP2193196B1,Patent_EP2364165B1,Patent_US20100255000,Patent_US20120269788,Patent_WO2011008885A1,Patent_EP3254674A1,Patent_US20150376592,Patent_US8153590,Patent_US9023796,Patent_EP2915564A1,Patent_US9109046,Patent_EP2814955A1,Patent_US20130129693,Patent_US8946219,Patent_US20170014492,Patent_US8455439,Pmcoa_4489817,Patent_EP2193196A2,Patent_EP2364165A2,Patent_US20160002617,Patent_US20160354449,Patent_US8889129,Pmcoa_3158856,Pmcoa_4762436,Patent_EP1948608A2,Patent_EP1948608B1","keep"
"GAMMA-CARBOXYGLUTAMIC ACID","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Patent_EP2453910B1,Patent_US20100255000,Patent_US8889129,Patent_US9109046,Patent_US20150025011,Patent_US20160354449,Patent_US20090098119,Patent_US20140134151,Patent_US20170233711,Patent_US9023796,Patent_US9062298,Patent_EP3121271A1,Patent_US20130129693,Patent_US8455439,Patent_US9056106,Patent_US20120269788,Patent_US8455441,Patent_US20110015128,Patent_US20100125052,Patent_US20160002617,Patent_EP2193196B1,Patent_EP3078743A1,Patent_US20150057228,Patent_EP2915564A1,Patent_EP2414517B1,Patent_US20140044773,Patent_US9388401,Patent_US9587233,Patent_EP2364165B1,Patent_US20140079684,Patent_US20170014492,Patent_US8153590,Patent_US8268783,Patent_WO2014116275A1,Patent_WO2011008885A1,Patent_US20150352194,Patent_US20070225223,Patent_US7662923,Patent_US20030100506,Patent_US20090275123,Patent_US20140113330,Patent_US7750120,Patent_US20090280107,Patent_US8415457,Patent_US20070066531,Patent_US20080026994,Patent_US20090281027,Patent_US7612188,Medline_23455714,Pmcoa_5423471,Patent_US20050075291,Patent_US20090280554,Patent_US20100311658,Patent_US7479551,Patent_US20080004216,Patent_US20130172259,Patent_US8048990,Patent_US7314917,Pmcoa_5874076,Patent_US7220837,Patent_US8415458,Patent_US9266931,Patent_US20070225224,Patent_US7247708,Patent_US8642738,Patent_EP2305802A1,Patent_US20060264373,Patent_US20070161561","keep"
"DABIGATRAN ETEXILATE","F10","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Medline_23117667,Pmcoa_3556861,Pmcoa_4132966,Pmcoa_3228673,Pmcoa_3693821,Medline_19550318,Medline_24605405,Medline_21421599,Medline_22465061,Medline_23695644,Medline_23818798,Pmcoa_4224738","keep"
"VORAPAXAR SULFATE","F2R","ARTHRITIS","Pmcoa_3872103,Medline_15818676","Pmcoa_3262324,Patent_US20080234236,Patent_WO2014152715A1,Medline_19699853,Patent_US20170281710,Pmcoa_3817733,Patent_US20160045506,Medline_18447380,Medline_21935705,Patent_EP2990051A1,Patent_US20120121706,Patent_US9376499,Medline_20170841,Patent_EP2488026A1,Medline_21090833,Patent_EP2416799B1,Patent_US20120141586,Patent_US20120184504,Medline_19332592,Patent_US20170065668,Medline_21353434,Patent_EP2440191A2,Patent_US20150023975,Medline_20926621,Patent_EP2990051B1,Patent_EP3061460A1,Pmcoa_5545188,Patent_US20170035734,Patent_WO2011041217A1,Patent_US9789087,Patent_WO2010118435A2,Patent_WO2010144339A2,Pmcoa_2800923,Patent_EP2416799A2,Patent_US20180000784,Medline_19882073,Medline_21248619,Patent_WO2008118320A1","keep"
"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ALBUMIN FREE METHOD","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Pmcoa_4737295,Patent_EP2729161A2,Patent_WO2013009627A2","keep"
"DESMOPRESSIN ACETATE","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Pmcoa_3030021,Pmcoa_3166073,Medline_9184393,Medline_8322282,Medline_8854570,Medline_25698197,Medline_8547104,Medline_2394244,Pmcoa_4834776","keep"
"DDAVP NASAL SPRAY","F8","ARTHRITIS","Medline_19781067,Pmcoa_2787264,Patent_EP1724286A1,Patent_US20090104202,Patent_US20060019340,Patent_US20090093053,Patent_US7534605,Patent_US20110207678,Patent_US8193311,Patent_US7883857,Patent_US7901909,Medline_29438784,Pmcoa_3978877","Medline_25698197,Pmcoa_4834776","keep"
"LY-2874455","FGFR1","CHRONIC ULCERATIVE COLITIS","Medline_28928792,Pmcoa_5591922","Pmcoa_5019380,Medline_27618313","keep"
"POLYHISTIDINE","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Patent_US20100095387,Patent_US20100095387A1,Pmcoa_2172957,Patent_US20050159354","keep"
"MEPYRAMINE","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_12925217,Medline_12873950","keep"
"ATOMOXETINE","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Medline_12431845,Patent_EP1458368B1,Patent_US20050009925,Patent_EP1458368A1,Patent_WO2005053663A2,Patent_WO2003049724A1,Medline_22119060","keep"
"CHEMBL444478","FOS","ARTHRITIS","Medline_20950869,Pmcoa_2976746,Medline_16437739","Pmcoa_3851776,Medline_24324641,Pmcoa_4560509","keep"
"TOLBUTAMIDE","GAST","CROHN'S DISEASE","Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463","Medline_3065196,Medline_6642411","keep"
"METIAMIDA","GAST","CROHN'S DISEASE","Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463","Medline_184871,Medline_1686922,Medline_437421","keep"
"ALOGLIPTIN","GIP","AGE RELATED OSTEOPOROSIS","Medline_26642272,Patent_EP1119625A1,Patent_EP1119625B1,Patent_US20130137631,Patent_US6410508,Patent_US20130196913,Patent_US8895498,Patent_US20080312157,Patent_US20090036364,Patent_US20130281374,Patent_US8263545,Patent_US8404637,Patent_US9133260","Patent_US20130059872A1,Pmcoa_6340677,Pmcoa_4166248","keep"
"ALFADEX","GLB1","SCLERODERMA","Medline_2128055,Medline_6785118,Medline_16285646","Medline_25670982,Pmcoa_4311648","keep"
"DULAGLUTIDE","GLP1R","PSORIASIS","Medline_22160246,Medline_21744074","Medline_28283565,Medline_25860029,Medline_26059826,Pmcoa_4509428,Pmcoa_6164486,Patent_US20170275370,Medline_27279266,Medline_29708650,Pmcoa_5042083,Pmcoa_5848589,Pmcoa_5064615,Medline_26179187,Medline_27059816,Medline_29483060,Patent_US20170275370A1,Pmcoa_4113177,Pmcoa_5008205,Medline_28294499,Medline_30289034,Medline_25029955,Medline_26656966,Medline_26009229,Pmcoa_4934019,Pmcoa_6099453,Patent_EP3329930A1,Pmcoa_6021307,Medline_26661514,Pmcoa_5013324,Medline_24742660,Pmcoa_4705511,Medline_24980665,Medline_26847401,Medline_29377522,Medline_26089386,Pmcoa_6302261","keep"
"DESERPIDINE","GSK3B","ARTHRITIS","Pmcoa_2650783,Pmcoa_4277409","Pmcoa_5742885,Medline_25632187","keep"
"DINITROBENZENE","HBG2","POLYCYTHEMIA","Medline_1634355,Medline_5796352","Medline_3965845,Medline_7728905","keep"
"HQL 79","HPGDS","PSORIASIS","Medline_23489263,Patent_US20150038499,Patent_US20150307914","Medline_16547010,Pmcoa_2658056,Pmcoa_6226547,Pmcoa_4486370,Pmcoa_6055936,Pmcoa_5515835,Patent_US07238718,Patent_US7238718,Pmcoa_4292445,Patent_US20120015001,Medline_21294159,Patent_US20130079375,Patent_US9126973,Patent_US9750749,Pmcoa_3050850,Patent_EP2350059A2,Patent_US09126973,Patent_US09750749,Medline_16624958,Medline_22068479,Patent_US8536185,Patent_EP2350059B1,Medline_18492946,Pmcoa_3248891,Pmcoa_3637094,Patent_US20090263784,Patent_US7547532","keep"
"MOMETASONE","HPSE","FIBROMYALGIA","Patent_US20090081243,Patent_EP2527446A1,Patent_US20150322517,Patent_EP2527447A1,Patent_EP1766014A1,Patent_EP2270034A2,Patent_WO2005118810A1,Medline_18158367,Pmcoa_416451,Patent_US20130034537,Pmcoa_416440","Medline_22409907,Pmcoa_3339360","keep"
"LESOPITRAN","HTR1A","SCLERODERMA","Medline_27586891,Pmcoa_5009650","Patent_US20100099709A1,Patent_US20120088792A1,Medline_15331910,Medline_8026543","keep"
"VILAZODONE","HTR1A","SCLERODERMA","Medline_27586891,Pmcoa_5009650","Pmcoa_4880584,Pmcoa_3363296,Medline_15740724,Medline_28705022,Pmcoa_5091830,Pmcoa_5693328,Pmcoa_4922821,Pmcoa_4048143,Medline_24419272,Pmcoa_4841022","keep"
"GEPIRONE","HTR1A","SCLERODERMA","Medline_27586891,Pmcoa_5009650","Medline_1978370,Patent_WO2002102988A2,Patent_US7132287,Patent_US20030082802,Medline_11892924,Medline_1682780,Medline_1350349,Medline_8131153,Medline_2905533,Medline_2157231,Medline_10523050,Medline_2145592,Medline_12707493,Medline_1973905,Medline_14685301,Medline_2524857,Medline_9822768,Medline_7902588,Medline_7617823,Pmcoa_4408952,Medline_2901112,Patent_US7425558,Patent_EP1881851A1,Medline_2466516,Medline_2565390,Patent_US20080070925,Patent_EP1874756A1,Patent_EP1971337A1,Patent_US20060263299,Patent_WO2006116165A1,Patent_EP1871355A1,Patent_EP1871358A1,Patent_US20060287335,Patent_WO2006116149A1,Patent_EP1871755A1,Patent_WO2005094827A1,Patent_US20060287333,Patent_WO2006116150A1,Patent_WO2006116170A1,Patent_WO2007081374A1,Patent_EP1871356A1,Patent_WO2008052078A2,Patent_WO2006116151A1,Patent_WO2006124259A1,Medline_8788529","keep"
"ELTOPRAZINE","HTR1A","SCLERODERMA","Medline_27586891,Pmcoa_5009650","Medline_7473558,Medline_2340856","keep"
"LORCASERIN","HTR2A","SCLERODERMA","Medline_19435465,Pmcoa_2688170,Pmcoa_2688175","Pmcoa_3038640,Pmcoa_5787931,Pmcoa_4825944","keep"
