"Link.ID","Source.name","Source.Display.Name","Source.type","Target.name","Target.Display.Name","Target.type","Confidence","Documents","Document.IDs","Relationships"
10,"[Na+].Oc1ccccc1C([O-])=O","SODIUM SALICYLATE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",83.2064682067208,6,"Pmcoa_2128386,Medline_19868706,Medline_12989556,Medline_13040331,Medline_17750516,Medline_18870387","Prepositional,Cure"
11,"[K+].CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C([O-])=O","PICIBANIL","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",62.8214582170699,1,"Pmcoa_4802678","Prepositional"
12,"IL10","IL10","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",73.6197274061682,1,"Pmcoa_5674546","Prepositional"
13,"CRP","CRP","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",88.1325759237499,12,"Medline_659600,Patent_EP1865067A1,Patent_EP1865067B1,Medline_13533322,Medline_13681937,Medline_7419963,Medline_13610000,Medline_13908656,Medline_13450906,Medline_12981905,Medline_13212322,Medline_13538376","Prepositional"
14,"Nc1ccc(cc1)S(=O)(=O)Nc1ncccn1","SULFADIAZINE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",80.4647103775175,3,"Medline_5917599,Medline_20290350,Medline_14283053","Prepositional"
15,"C[C@@H]1C[C@H]2[C@@H]3C=C(C)C4=Cc5c(C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O)cnn5-c1ccccc1","CORTIVAZOL","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",80.1561537443677,2,"Medline_5199579,Medline_5945333","Prepositional"
16,"Oc1ccccc1C([O-])=O","SALICYLATE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",87.6307090770727,11,"Medline_684951,Medline_20991219,Medline_20323236,Medline_18623801,Medline_10736599,Medline_20323454,Medline_1376585,Medline_14651540,Medline_20255970,Medline_13472026,Medline_20748246","Prepositional,Treat"
17,"OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl","DICLOFENAC","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",0,6,"Patent_WO2002022109A2,Patent_US20040037872,Patent_EP1326590A2,Patent_US20100048518,Patent_US20060287284,Patent_US20130217723","Association,Treat"
18,"CC(C)Cc1ccc(cc1)C(C)C(O)=O","IBUPROFEN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",70.1087487074902,4,"Medline_2308197,Patent_US20130217723,Patent_US20100048518,Patent_US20060287284","Prepositional,Treat"
19,"CC(=O)Oc1ccccc1C(O)=O","ASPIRIN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",89.9054301184318,15,"Patent_WO2005013942A1,Patent_US20130142851,Patent_US20060159776,Patent_EP1656120A1,Patent_EP1656120B1,Medline_13181540,Medline_10216563,Medline_2308197,Medline_8338425,Medline_28621087,Medline_19962028,Patent_US20060287284,Patent_US20100048518,Patent_US20130217723,Medline_13908655","Regulation,Association,Prepositional,Treat"
20,"RHD","RHD","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",69.4599667982315,2,"Pmcoa_4435248,Pmcoa_3948343","Prepositional,AssociationNegative"
21,"CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(O)=O","BENZYLPENICILLIN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",85.0166654885394,7,"Pmcoa_4802678,Medline_26020139,Pmcoa_4584519,Medline_1568517,Medline_13802365,Medline_8067767,Medline_1340864","Prepositional,AssociationNegative"
22,"MYOM2","MYOM2","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",60.6071092402775,1,"Medline_8958254","Regulation"
23,"CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O","PIROXICAM","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",0,3,"Patent_US20060287284,Patent_US20100048518,Patent_US20130217723","Treat"
24,"CCDC183","CCDC183","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",68.1448321259438,3,"Pmcoa_2646144,Pmcoa_5674546,Medline_19252743","AssociationPositive,Prepositional"
25,"F2","F2","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",80.719583578841,3,"Medline_13181538,Medline_13213269,Medline_13368692","Prepositional"
26,"CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1","KETOPROFEN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",79.1357652720045,2,"Medline_6318346,Medline_796948","Prepositional"
27,"B2M","B2M","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",64.976748776462,1,"Pmcoa_3346836","Prepositional"
28,"CC(Cc1cccc(c1)C(F)(F)F)NCCOC(=O)c1ccccc1","BENFLUOREX","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",57.7777777777778,2,"Pmcoa_4972394,Medline_27487042","AssociationPositive"
29,"CCCCC1(C(=O)NN(C1=O)c1ccccc1)c1ccccc1","4-BUTYL-1,4-DIPHENYLPYRAZOLIDINE-3,5-DIONE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",61.0208066225265,1,"Medline_13093026","Treat"
30,"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O","ERYTHROMYCIN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",69.3250505607805,1,"Medline_13521807","Prepositional"
31,"CCCCN1CCCC1","BUTAZOLIDINE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",76.1208202662333,2,"Medline_14409300,Medline_13673981","Prepositional"
32,"C(C[NH2+]Cc1ccccc1)[NH2+]Cc1ccccc1.CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C([O-])=O.CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C([O-])=O","PENICILLIN G BENZATHINE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",60.590655837771,1,"Medline_15612147","Help,AssociationNegative"
33,"ADM","ADM","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",66.1438252752663,1,"Medline_15885231","Prepositional"
34,"ALB","ALB","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",83.2618949147736,4,"Medline_23813149,Medline_13511493,Medline_19870918,Pmcoa_2133799","Prepositional"
35,"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","HYDROCORTISONE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",71.3291656432271,1,"Medline_4284578","Prepositional"
36,"IL8","IL8","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",71.6256330309026,1,"Medline_8610224","Prepositional"
37,"CCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C/[C@@H](O)CCCC(O)=O","5,12-DIHETE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",0,1,"Patent_EP1773333A1","Treat"
38,"CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO","N ACETYLGLUCOSAMINE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",0,2,"Patent_US20110212186,Patent_EP2318014B1","Prepositional"
39,"TNF","TNF","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",86.0674973379415,4,"Medline_18639610,Medline_15588689,Medline_7586724,Patent_US20060003988","Regulation,Prepositional,Treat"
40,"COc1ccc2cc(ccc2c1)[C@H](C)C(O)=O","NAPROXEN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",68.9068383331417,4,"Medline_28621087,Patent_US20100048518,Patent_US20060287284,Patent_US20130217723","Treat"
41,"CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12","ETODOLAC","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",0,3,"Patent_US20130217723,Patent_US20060287284,Patent_US20100048518","Treat"
42,"CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1","VITAMIN E","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",70.1297157341339,1,"Medline_13266064","Prepositional"
43,"IL6","IL6","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",82.4111637211934,2,"Medline_28550401,Medline_22796386","Association,Prepositional"
44,"Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F","LEFLUNOMIDE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",67.6669222233797,1,"Medline_24359053","Prepositional"
45,"CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","METHOTREXATE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",82.0512038088746,2,"Medline_12906020,Medline_20514079","Prepositional,Treat"
46,"HYALURONIDASE","HYALURONIDASE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",84.9995879872833,4,"Medline_13025921,Medline_20984259,Medline_15402289,Medline_14895084","Prepositional"
47,"[O-]C(=O)CCC([O-])=O","SUCCINATE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",63.7543084664142,1,"Medline_18870246","Prepositional"
48,"[Na+].[Na+].[Fe--].N=O.C#N.C#N.C#N.C#N.C#N","SODIUM NITROPRUSSIDE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",64.2206783653688,1,"Medline_23547889","AssociationPositive"
49,"CC(C)C(C)C=CC(C)C1CCC2\C(CCCC12C)=C\C=C1CC(O)CCC1=C","VITAMIN D","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",71.3261216157008,2,"Medline_28680013,Pmcoa_5512202","Prepositional"
50,"[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C([O-])=O","PENICILLIN G SODIUM","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",65.3631853267379,1,"Pmcoa_4802678","Prepositional"
51,"N(c1ccccc1)c1ccccc1","DIPHENYL AMINE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",63.8698183506871,1,"Medline_13079338","Prepositional"
52,"[Na+].CN(CS([O-])(=O)=O)c1c(C)n(C)n(-c2ccccc2)c1=O","DIPYRONE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",64.7796450347429,1,"Medline_15431895","Prepositional"
53,"AIF1","AIF1","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",58.3333333333333,1,"Medline_23547889","Regulation"
54,"IL2","IL2","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",71.1370625264239,1,"Medline_8095193","Prepositional"
55,"Cl.CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)c1c(O)ccc(Cl)c1[C@@]3(C)O","CHLORTETRACYCLINE HYDROCHLORIDE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",67.751210458036,1,"Medline_13070689","Treat"
56,"NC[C@H](O)c1ccc(O)c(O)c1","NOREPINEPHRINE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",66.5334296582499,1,"Medline_13789608","Prepositional"
57,"CC1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12","6 METHYLPREDNISOLONE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",63.9629545059298,1,"Medline_14158347","Treat"
58,"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","PREDNISOLONE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",72.1581217155487,1,"Medline_17515669","Prepositional"
59,"CC(O)=N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O","HEPARIN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",82.1122669583553,2,"Medline_18142616,Medline_24540672","Prepositional"
60,"Nc1ccc(cc1)S(N)(=O)=O","SULFANILAMIDE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",76.3253684157583,2,"Medline_20248595,Medline_18137349","Prepositional"
61,"PRLR","PRLR","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",58.3333333333333,1,"Medline_24997655","AssociationPositive"
62,"KCNMA1","KCNMA1","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",2.78999217716999,1,"Patent_WO1993005152A1","Association"
63,"CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","PHENYLBUTAZONE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",78.5361205395119,2,"Medline_13437142,Medline_4174264","Prepositional"
64,"OC[C@H](O)[C@H]1OC(=O)C(O)=C1O","ASCORBIC ACID","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",70.4279744449801,1,"Medline_14370482","Prepositional"
65,"HSP90B2P","HSP90B2P","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",63.0640668916729,1,"Medline_18159205","Prepositional"
66,"CCL19","CCL19","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",61.0047970005016,1,"Pmcoa_4662207","Follow"
67,"IL17A","IL17A","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",71.4389666640808,1,"Pmcoa_5674546","Prepositional"
68,"TLR2","TLR2","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",69.5710496827524,1,"Pmcoa_4278265","AssociationPositive"
69,"CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(O)=O","PICIBANIL","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",62.8214582170699,1,"Pmcoa_4802678","Prepositional"
70,"Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1.COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC","CO-TRIMOXAZOLE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",69.449277112633,1,"Pmcoa_5506077","AssociationNegative"
71,"ACE","ACE","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",68.11033472691,1,"Medline_12578328","Predict"
72,"CCOC(=O)C(c1c(O)oc2ccccc2c1=O)c1c(O)oc2ccccc2c1=O","PELENTAN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",62.0041503066537,1,"Medline_13018960","Prepositional"
73,"C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C","RETINOL","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",70.0274942782278,1,"Medline_13174665","Prepositional"
74,"CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12","CHLOROQUINE","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",68.1987563884213,1,"Medline_13830022","Prepositional"
75,"[K+].CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C([O-])=O","PENICILLIN G POTASSIUM","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",65.4890390647222,1,"Pmcoa_4802678","Prepositional"
76,"GCG","GCG","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",67.1432769341744,1,"Medline_14208774","Treat"
77,"IL2RA","IL2RA","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",69.7049924581049,1,"Medline_7994924","Prepositional"
78,"RNASE2","RNASE2","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",61.5011653009415,1,"Pmcoa_4892593","Prepositional"
79,"TNFRSF6B","TNFRSF6B","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",58.3333333333333,1,"Medline_25564309","Prepositional"
80,"ARSE","ARSE","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",60.1211291130576,1,"Medline_3913781","Prepositional"
81,"HSPD1","HSPD1","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",65.4358988909329,1,"Pmcoa_2872810","Prepositional"
82,"CCR7","CCR7","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",60.4215142103169,1,"Pmcoa_4662207","Follow"
83,"CSCC[C@H](N=C(O)[C@H](CC(C)C)N=C(O)[C@H](Cc1c[nH]c2ccccc12)N=C(O)[C@H](CCC(O)=N)N=C(O)[C@@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@H](CC(O)=O)N=C(O)[C@H](CCC(O)=N)N=C(O)[C@H](C)N=C(O)[C@H](CCCNC(N)=N)N=C(O)[C@H](CCCNC(N)=N)N=C(O)[C@H](CO)N=C(O)[C@H](CC(O)=O)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](Cc1ccc(O)cc1)N=C(O)[C@H](CCCCN)N=C(O)[C@H](CO)N=C(O)[C@H](Cc1ccc(O)cc1)N=C(O)[C@H](CC(O)=O)N=C(O)[C@H](CO)N=C(O)[C@@H](N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@@H](N=C(O)CN=C(O)[C@H](CCC(O)=N)N=C(O)[C@H](CO)N=C(O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(O)=N[C@@H](CC(O)=N)C(O)=N[C@@H](C(C)O)C(O)=O","GLUCAGON","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",66.889811770266,1,"Medline_14208774","Treat"
84,"CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P@@](O)(=O)OCC(O)CO[P@](O)(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","CARDIOLIPIN","DRUG","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",76.5574944056663,2,"Medline_1507826,Medline_9503525","Prepositional"
85,"TNFRSF10A","TNFRSF10A","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",62.9479740967081,1,"Medline_2257458","Association"
86,"CTSB","CTSB","GENE","ACTIVE RHEUMATIC FEVER","ACTIVE RHEUMATIC FEVER","CONDITION",62.5306272532298,1,"Medline_24881000","Prepositional"
